repe_name,verify
DefinitelyTyped/DefinitelyTyped,typo squatting
swhitty/FlyingFox,none
fesiong/anqicms,none
IanSkelskey/eg-code-editor,none
Comfy-Org/ComfyUI-Manager,none
Tartiine/projet-web,none
mobalti/props-color-finder,none
chaostoolkit/chaostoolkit,none
Shubhamsaboo/awesome-llm-apps,none
PaperDebugger/paperdebugger,none
vlang/awesome-v,none
proffesor-for-testing/sentinel-api-testing,none
snyk/cli,none
langchain-ai/langchainjs,none
software-mansion/popcorn,none
codeforamerica/adopt-a-hydrant,none
dylanrees/citizen-science,none
freedomofpress/securedrop-client,none
simular-ai/Agent-S,none
xnx3/translate,none
ratfactor/ziglings,none
leanprover-community/mathlib3,none
containers/ramalama,none
9001/copyparty,none
horony/ftsy-bundesliga,none
gentilkiwi/mimikatz,none
JexPY/filemanager-fastapi,none
Z3Prover/z3,none
phoenixframework/phoenix,none
PredatorCZ/idTechToolset,none
datavane/tis,none
iaincollins/nextjs-starter,none
Azure/terraform-azurerm-avm-res-storage-storageaccount,none
getsentry/sentry-dart,none
access-company/antikythera,none
HDU-Course/HDU-kinoko-courses,none
globeFrEak/Gameserver_Query_Panel,none
IntelligenceModding/AdvancedPeripherals,none
way2muchnoise/ZenScript-Highlighter,none
vincentdoerig/latex-css,none
anki-code/xontrib-prompt-starship,none
jaakkopasanen/AutoEq,none
Bannerlord-Coop-Team/BannerlordCoop,none
JannisX11/blockbench,none
uPortal-Project/uPortal-web-components,none
pmndrs/xr,none
museofficial/muse,none
cbdevnet/midimonster,none
DesignPatternsPHP/DesignPatternsPHP,none
Urigo/angular-meteor,none
SpaceTimee/Sheas-Cealer,none
Wouterdek/NodeNetwork,none
jakzal/phpqa,none
go-dev-frame/sponge,none
bb-Ricardo/netbox-sync,none
tc39/proposal-enum,none
xchacha20-poly1305/husi,none
squeak-smalltalk/squeak-app,none
m4xshen/hardtime.nvim,none
nhost/nhost-nextjs-notes-starter,none
letta-ai/letta,none
firecow/gitlab-ci-local,none
Nivedita123/ds-replica-management-and-consistency,none
linki/chaoskube,none
JetBrains/intellij-platform-plugin-template,none
binghe/Acrobat-Actions,none
google-ai-edge/LiteRT,none
cgobat/asymmetric_uncertainty,none
pewpewlive/ppl-i18n,none
BehaviorTree/BehaviorTree.CPP,none
musurca/pico2tic,none
secdev/scapy,none
instructlab/instructlab,none
fernandohenriques/chat-app,none
frontvibe/fluid,none
EugenMayer/docker-rancher-extra-catalogs,none
ryanpcmcquen/basque,none
puikinsh/Pixel-Blogger-Template,none
gbdev/awesome-gbdev,none
asterinas/asterinas,none
mishushakov/llm-scraper,none
MolotovCherry/virtual-display-rs,none
glebi574/PPLAF,none
janet-lang/janet,none
